KEY1,Χρόνος Παράδοσης,Regional Unity,Full Address,,Account : Site : Site PostCode
Κωδ.Πρ.: 101472,24,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΦΥΛΗΣ-358,,13341
Κωδ.Πρ.: 101542,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΧΑΡΝΩΝ-130,,11251
Κωδ.Πρ.: 101526,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣΘΕΝΟΥΣ-146,,17673
Κωδ.Πρ.: 101528,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΩΝ. ΠΑΛΑΙΟΛΟΓΟΥ-79,,56430
Κωδ.Πρ.: 101416,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΛΙΑ ΗΛΙΟΥ-63,,11744
Κωδ.Πρ.: 101317,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΝΙΚΗΣ-5,,10563
Κωδ.Πρ.: 101527,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟY-37,,17672
Κωδ.Πρ.: 101497,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΑΝΟΡΜΟΥ-67,,11524
Κωδ.Πρ.: 101521,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ-80,,14121
Κωδ.Πρ.: 101518,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΠΛΑΤΑΙΩΝ-36,,54249
Κωδ.Πρ.: 101523,24,ΠΕΙΡΑΙΩΣ,ΑΘΗΝΑΣ-57,,18120
Κωδ.Πρ.: 101496,24,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΡΓΥΡΟΥΠΟΛΕΩΣ-18,,16451
Κωδ.Πρ.: 101522,24,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΝΘΕΩΝ & ΕΛΕΥΘΕΡΙΑΣ-8,,15123
Κωδ.Πρ.: 101487,24,ΘΕΣΣΑΛΟΝΙΚΗΣ,Μ. ΜΠΟΤΣΑΡΗ-4,,54643
Κωδ.Πρ.: 101510,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΗΤΡΙΟΥ ΣΟΥΤΣΟΥ-9,,11521
Κωδ.Πρ.: 101317,24,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΝΙΚΗΣ-5,,10563
